Name,id,nametype,Type of meteorite,Class of meteorite,Mass in gramms,fall,Fell or found ?,Year,reclat,reclong,GeoLocation
Shalka,23521,Valid,Typical meteorite,Diogenite,4000,Fell,Fell: the meteorite's fall was observed ,1850,23.100000,87.300000,"(23.100000, 87.300000)"
Kesen,12286,Valid,Typical meteorite,H4,135000,Fell,Fell: the meteorite's fall was observed ,1850,38.983330,141.616670,"(38.983330, 141.616670)"
Botetourt County,5116,Valid,Typical meteorite,Iron,500,Found,Found: the meteorite's fall was not observed,1850,37.500000,-79.750000,"(37.500000, -79.750000)"
Pittsburg,18838,Valid,Typical meteorite,"Iron, IAB-MG",600,Found,Found: the meteorite's fall was not observed,1850,40.433330,-80.000000,"(40.433330, -80.000000)"
Salt River,23113,Valid,Typical meteorite,"Iron, IIC",3600,Found,Found: the meteorite's fall was not observed,1850,37.950000,-85.783330,"(37.950000, -85.783330)"
Seneca Falls,23498,Valid,Typical meteorite,"Iron, IIIAB",4000,Found,Found: the meteorite's fall was not observed,1850,42.916670,-76.783330,"(42.916670, -76.783330)"
Schwetz,23461,Valid,Typical meteorite,"Iron, IIIAB",21500,Found,Found: the meteorite's fall was not observed,1850,53.400000,18.450000,"(53.400000, 18.450000)"
Tucson,24061,Valid,Typical meteorite,"Iron, ungrouped",975000,Found,Found: the meteorite's fall was not observed,1850,31.850000,-110.966670,"(31.850000, -110.966670)"
Quincay,22363,Valid,Typical meteorite,L6,65,Fell,Fell: the meteorite's fall was observed ,1851,46.600000,0.250000,"(46.600000, 0.250000)"
Gütersloh,11466,Valid,Typical meteorite,H3/4,1000,Fell,Fell: the meteorite's fall was observed ,1851,51.916670,8.383330,"(51.916670, 8.383330)"
Nulles,17959,Valid,Typical meteorite,H6,5000,Fell,Fell: the meteorite's fall was observed ,1851,41.633330,0.750000,"(41.633330, 0.750000)"
Bustee,5181,Valid,Typical meteorite,Aubrite,1500,Fell,Fell: the meteorite's fall was observed ,1852,26.783330,82.833330,"(26.783330, 82.833330)"
Borkut,5113,Valid,Typical meteorite,L5,7000,Fell,Fell: the meteorite's fall was observed ,1852,48.150000,24.283330,"(48.150000, 24.283330)"
Yatoor,30358,Valid,Typical meteorite,H5,13600,Fell,Fell: the meteorite's fall was observed ,1852,14.300000,79.766670,"(14.300000, 79.766670)"
Mezö-Madaras,16628,Valid,Typical meteorite,L3.7,22700,Fell,Fell: the meteorite's fall was observed ,1852,46.500000,25.733330,"(46.500000, 25.733330)"
Cranberry Plains,5462,Valid,Typical meteorite,"Iron, IVA",90,Found,Found: the meteorite's fall was not observed,1852,37.233330,-80.733330,"(37.233330, -80.733330)"
Mainz,15389,Valid,Typical meteorite,L6,1700,Found,Found: the meteorite's fall was not observed,1852,50.000000,8.266670,"(50.000000, 8.266670)"
Rodeo,22643,Valid,Typical meteorite,"Iron, IID",44000,Found,Found: the meteorite's fall was not observed,1852,25.333330,-104.666670,"(25.333330, -104.666670)"
Chupaderos,5363,Valid,Typical meteorite,"Iron, IIIAB",24300000,Found,Found: the meteorite's fall was not observed,1852,27.000000,-105.100000,"(27.000000, -105.100000)"
Duruma,7752,Valid,Typical meteorite,L6,577,Fell,Fell: the meteorite's fall was observed ,1853,-4.000000,39.500000,"(-4.000000, 39.500000)"
Segowlie,23476,Valid,Typical meteorite,LL6,6930,Fell,Fell: the meteorite's fall was observed ,1853,26.750000,84.783330,"(26.750000, 84.783330)"
Girgenti,10917,Valid,Typical meteorite,L6,18000,Fell,Fell: the meteorite's fall was observed ,1853,37.316670,13.566670,"(37.316670, 13.566670)"
Union County,24122,Valid,Typical meteorite,"Iron, IC",6800,Found,Found: the meteorite's fall was not observed,1853,34.750000,-84.000000,"(34.750000, -84.000000)"
Tazewell,23891,Valid,Typical meteorite,"Iron, IAB-sLH",27000,Found,Found: the meteorite's fall was not observed,1853,36.433330,-83.750000,"(36.433330, -83.750000)"
Linum,14655,Valid,Typical meteorite,L6,1862,Fell,Fell: the meteorite's fall was observed ,1854,52.750000,12.900000,"(52.750000, 12.900000)"
Tabarz,23774,Valid,Typical meteorite,"Iron, IAB-MG",150,Found,Found: the meteorite's fall was not observed,1854,50.883330,10.516670,"(50.883330, 10.516670)"
Oktibbeha County,18003,Valid,Typical meteorite,"Iron, IAB-ung",156,Found,Found: the meteorite's fall was not observed,1854,33.500000,-89.000000,"(33.500000, -89.000000)"
Emmitsburg,10034,Valid,Typical meteorite,"Iron, IIIAB?",450,Found,Found: the meteorite's fall was not observed,1854,39.716670,-77.300000,"(39.716670, -77.300000)"
Sarepta,23178,Valid,Typical meteorite,"Iron, IAB-MG",14000,Found,Found: the meteorite's fall was not observed,1854,48.483330,44.816670,"(48.483330, 44.816670)"
Verkhne Udinsk,24166,Valid,Typical meteorite,"Iron, IIIAB",18000,Found,Found: the meteorite's fall was not observed,1854,54.766670,113.983330,"(54.766670, 113.983330)"
Duel Hill (1854),7738,Valid,Typical meteorite,"Iron, IVA",21800,Found,Found: the meteorite's fall was not observed,1854,35.850000,-82.700000,"(35.850000, -82.700000)"
Madoc,15381,Valid,Typical meteorite,"Iron, IIIAB",168000,Found,Found: the meteorite's fall was not observed,1854,44.500000,-77.466670,"(44.500000, -77.466670)"
Cranbourne,5463,Valid,Typical meteorite,"Iron, IAB-MG",8600000,Found,Found: the meteorite's fall was not observed,1854,-38.100000,145.300000,"(-38.100000, 145.300000)"
Avilez,4907,Valid,Typical meteorite,H,146,Fell,Fell: the meteorite's fall was observed ,1855,25.000000,-103.500000,"(25.000000, -103.500000)"
St. Denis Westrem,23083,Valid,Typical meteorite,L6,700,Fell,Fell: the meteorite's fall was observed ,1855,51.050000,3.750000,"(51.050000, 3.750000)"
Sabetmahet,22792,Valid,Typical meteorite,H5,1250,Fell,Fell: the meteorite's fall was observed ,1855,27.433330,82.083330,"(27.433330, 82.083330)"
Petersburg,18801,Valid,Typical meteorite,Eucrite-pmict,1800,Fell,Fell: the meteorite's fall was observed ,1855,35.300000,-86.633330,"(35.300000, -86.633330)"
Oesel,17989,Valid,Typical meteorite,L6,6000,Fell,Fell: the meteorite's fall was observed ,1855,58.500000,23.000000,"(58.500000, 23.000000)"
Bremervörde,5135,Valid,Typical meteorite,H/L3.9,7250,Fell,Fell: the meteorite's fall was observed ,1855,53.400000,9.100000,"(53.400000, 9.100000)"
Barranca Blanca,4950,Valid,Typical meteorite,"Iron, IIE-an",12000,Found,Found: the meteorite's fall was not observed,1855,-28.083330,-69.333330,"(-28.083330, -69.333330)"
Narraburra,16915,Valid,Typical meteorite,"Iron, IIIAB",32200,Found,Found: the meteorite's fall was not observed,1855,-34.250000,147.700000,"(-34.250000, 147.700000)"
Orange River (iron),18023,Valid,Typical meteorite,"Iron, IIIAB",148800,Found,Found: the meteorite's fall was not observed,1855,-30.000000,25.000000,"(-30.000000, 25.000000)"
Oviedo,18058,Valid,Typical meteorite,H5,205,Fell,Fell: the meteorite's fall was observed ,1856,43.400000,-5.866670,"(43.400000, -5.866670)"
Trenzano,24046,Valid,Typical meteorite,H3/4,11800,Fell,Fell: the meteorite's fall was observed ,1856,45.466670,10.000000,"(45.466670, 10.000000)"
Denton County,6659,Valid,Typical meteorite,"Iron, IIIAB",5400,Found,Found: the meteorite's fall was not observed,1856,33.000000,-97.000000,"(33.000000, -97.000000)"
Fort Pierre,10167,Valid,Typical meteorite,"Iron, IIIAB",15900,Found,Found: the meteorite's fall was not observed,1856,44.350000,-100.383330,"(44.350000, -100.383330)"
Hainholz,11473,Valid,Typical meteorite,Mesosiderite-A4,16500,Found,Found: the meteorite's fall was not observed,1856,52.283330,8.916670,"(52.283330, 8.916670)"
