Name,id,nametype,Type of meteorite,Class of meteorite,Mass in gramms,fall,Fell or found ?,Year,reclat,reclong,GeoLocation
Nogata,16988,Valid,Typical meteorite,L6,472,Fell,Fell: the meteorite's fall was observed ,860,33.725000,130.750000,"(33.725000, 130.750000)"
Narni,16914,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,920,42.516670,12.516670,"(42.516670, 12.516670)"
Elbogen,7823,Valid,Typical meteorite,"Iron, IID",107000,Fell,Fell: the meteorite's fall was observed ,1399,50.183330,12.733330,"(50.183330, 12.733330)"
Rivolta de Bassi,22614,Valid,Typical meteorite,Stone-uncl,103.3,Fell,Fell: the meteorite's fall was observed ,1490,45.483330,9.516670,"(45.483330, 9.516670)"
Ensisheim,10039,Valid,Typical meteorite,LL6,127000,Fell,Fell: the meteorite's fall was observed ,1491,47.866670,7.350000,"(47.866670, 7.350000)"
Valdinoce,24146,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1495,44.066670,12.100000,"(44.066670, 12.100000)"
Oliva-Gandia,18012,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1519,39.000000,-0.033330,"(39.000000, -0.033330)"
Campo del Cielo,5247,Valid,Typical meteorite,"Iron, IAB-MG",50000000,Found,Found: the meteorite's fall was not observed,1575,-27.466670,-60.583330,"(-27.466670, -60.583330)"
Castrovillari,5295,Valid,Typical meteorite,Stone-uncl,15000,Fell,Fell: the meteorite's fall was observed ,1583,39.800000,16.200000,"(39.800000, 16.200000)"
Morito,16745,Valid,Typical meteorite,"Iron, IIIAB",10100000,Found,Found: the meteorite's fall was not observed,1600,27.050000,-105.433330,"(27.050000, -105.433330)"
Jalandhar,12069,Valid,Typical meteorite,Iron,1967,Fell,Fell: the meteorite's fall was observed ,1621,31.000000,75.000000,"(31.000000, 75.000000)"
Stretchleigh,23732,Valid,Typical meteorite,Stone-uncl,10400,Fell,Fell: the meteorite's fall was observed ,1623,50.383330,-3.950000,"(50.383330, -3.950000)"
Hatford,11855,Valid,Typical meteorite,Stone-uncl,29000,Fell,Fell: the meteorite's fall was observed ,1628,51.650000,-1.516670,"(51.650000, -1.516670)"
Minamino,16692,Valid,Typical meteorite,L,1040,Fell,Fell: the meteorite's fall was observed ,1632,35.078330,136.933330,"(35.078330, 136.933330)"
Sagan,22796,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1636,51.533330,14.883330,"(51.533330, 14.883330)"
Mount Vaisi,16805,Valid,Typical meteorite,Stone-uncl,17000,Fell,Fell: the meteorite's fall was observed ,1637,44.083330,6.866670,"(44.083330, 6.866670)"
Stolzenau,23726,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1647,52.533330,9.050000,"(52.533330, 9.050000)"
Fünen,10838,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1654,55.333330,10.333330,"(55.333330, 10.333330)"
Novy-Ergi,17934,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1662,58.550000,31.333330,"(58.550000, 31.333330)"
Vago,24143,Valid,Typical meteorite,H6,40,Fell,Fell: the meteorite's fall was observed ,1668,45.416670,11.133330,"(45.416670, 11.133330)"
Ortenau,18033,Valid,Typical meteorite,Stone-uncl,4500,Fell,Fell: the meteorite's fall was observed ,1671,48.500000,8.000000,"(48.500000, 8.000000)"
Sasagase,23187,Valid,Typical meteorite,H,695,Fell,Fell: the meteorite's fall was observed ,1688,34.716670,137.783330,"(34.716670, 137.783330)"
Barcelona (stone),4944,Valid,Typical meteorite,OC,,Fell,Fell: the meteorite's fall was observed ,1704,41.366670,2.166670,"(41.366670, 2.166670)"
Schellin,23457,Valid,Typical meteorite,L,7000,Fell,Fell: the meteorite's fall was observed ,1715,53.350000,15.050000,"(53.350000, 15.050000)"
Siratik,23615,Valid,Typical meteorite,"Iron, IIAB",1700,Found,Found: the meteorite's fall was not observed,1716,14.000000,-11.000000,"(14.000000, -11.000000)"
Ploschkovitz,18849,Valid,Typical meteorite,L5,39,Fell,Fell: the meteorite's fall was observed ,1723,50.533330,14.116670,"(50.533330, 14.116670)"
Steinbach,23722,Valid,Typical meteorite,"Iron, IVA-an",98000,Found,Found: the meteorite's fall was not observed,1724,50.500000,12.500000,"(50.500000, 12.500000)"
Rasgrad,22396,Valid,Typical meteorite,Stone-uncl,24700,Fell,Fell: the meteorite's fall was observed ,1740,43.500000,26.533330,"(43.500000, 26.533330)"
Ogi,17994,Valid,Typical meteorite,H6,14360,Fell,Fell: the meteorite's fall was observed ,1741,33.283330,130.200000,"(33.283330, 130.200000)"
Krasnojarsk,12356,Valid,Typical meteorite,"Pallasite, PMG-an",700000,Found,Found: the meteorite's fall was not observed,1749,54.900000,91.800000,"(54.900000, 91.800000)"
Nicorps,16970,Valid,Typical meteorite,Stone-uncl,,Fell,Fell: the meteorite's fall was observed ,1750,49.033330,-1.433330,"(49.033330, -1.433330)"
Hraschina,11916,Valid,Typical meteorite,"Iron, IID",49000,Fell,Fell: the meteorite's fall was observed ,1751,46.100000,16.333330,"(46.100000, 16.333330)"
Tabor,23776,Valid,Typical meteorite,H5,7540,Fell,Fell: the meteorite's fall was observed ,1753,49.400000,14.650000,"(49.400000, 14.650000)"
Luponnas,14757,Valid,Typical meteorite,H3-5,14000,Fell,Fell: the meteorite's fall was observed ,1753,46.216670,5.000000,"(46.216670, 5.000000)"
Albareto,453,Valid,Typical meteorite,L/LL4,2000,Fell,Fell: the meteorite's fall was observed ,1766,44.650000,11.016670,"(44.650000, 11.016670)"
Lucé,14724,Valid,Typical meteorite,L6,3500,Fell,Fell: the meteorite's fall was observed ,1768,47.850000,0.483330,"(47.850000, 0.483330)"
